date,service,cost_usd,account,tag_env,region
2024-06-01,AmazonEC2,89.23,techflow-prod,prod,us-east-1
2024-06-01,AmazonS3,12.45,techflow-prod,prod,us-east-1
2024-06-01,AWSLambda,23.67,techflow-prod,prod,us-east-1
2024-06-01,AmazonRDS,156.78,techflow-prod,prod,us-east-1
2024-06-01,AmazonCloudFront,8.92,techflow-prod,prod,us-east-1
2024-06-01,AmazonEC2,34.56,techflow-dev,dev,us-west-2
2024-06-01,AmazonS3,4.23,techflow-dev,dev,us-west-2
2024-06-01,AWSLambda,9.87,techflow-dev,dev,us-west-2
2024-06-02,AmazonEC2,92.15,techflow-prod,prod,us-east-1
2024-06-02,AmazonS3,13.78,techflow-prod,prod,us-east-1
2024-06-02,AWSLambda,25.43,techflow-prod,prod,us-east-1
2024-06-02,AmazonRDS,159.34,techflow-prod,prod,us-east-1
2024-06-02,AmazonCloudFront,9.56,techflow-prod,prod,us-east-1
2024-06-02,AmazonEC2,36.78,techflow-dev,dev,us-west-2
2024-06-02,AmazonS3,4.67,techflow-dev,dev,us-west-2
2024-06-02,AWSLambda,11.23,techflow-dev,dev,us-west-2
2024-06-03,AmazonEC2,95.67,techflow-prod,prod,us-east-1
2024-06-03,AmazonS3,15.23,techflow-prod,prod,us-east-1
2024-06-03,AWSLambda,28.91,techflow-prod,prod,us-east-1
2024-06-03,AmazonRDS,162.45,techflow-prod,prod,us-east-1
2024-06-03,AmazonCloudFront,10.34,techflow-prod,prod,us-east-1
2024-06-03,AmazonEC2,38.92,techflow-dev,dev,us-west-2
2024-06-03,AmazonS3,5.12,techflow-dev,dev,us-west-2
2024-06-03,AWSLambda,12.67,techflow-dev,dev,us-west-2
2024-06-04,AmazonEC2,98.34,techflow-prod,prod,us-east-1
2024-06-04,AmazonS3,16.89,techflow-prod,prod,us-east-1
2024-06-04,AWSLambda,31.45,techflow-prod,prod,us-east-1
2024-06-04,AmazonRDS,165.23,techflow-prod,prod,us-east-1
2024-06-04,AmazonCloudFront,11.78,techflow-prod,prod,us-east-1
2024-06-04,AmazonEC2,41.56,techflow-dev,dev,us-west-2
2024-06-04,AmazonS3,5.89,techflow-dev,dev,us-west-2
2024-06-04,AWSLambda,14.23,techflow-dev,dev,us-west-2
2024-06-05,AmazonEC2,101.23,techflow-prod,prod,us-east-1
2024-06-05,AmazonS3,18.45,techflow-prod,prod,us-east-1
2024-06-05,AWSLambda,34.67,techflow-prod,prod,us-east-1
2024-06-05,AmazonRDS,168.91,techflow-prod,prod,us-east-1
2024-06-05,AmazonCloudFront,13.24,techflow-prod,prod,us-east-1
2024-06-05,AmazonEC2,44.78,techflow-dev,dev,us-west-2
2024-06-05,AmazonS3,6.34,techflow-dev,dev,us-west-2
2024-06-05,AWSLambda,15.89,techflow-dev,dev,us-west-2
2024-06-06,AmazonEC2,104.56,techflow-prod,prod,us-east-1
2024-06-06,AmazonS3,20.12,techflow-prod,prod,us-east-1
2024-06-06,AWSLambda,37.23,techflow-prod,prod,us-east-1
2024-06-06,AmazonRDS,172.34,techflow-prod,prod,us-east-1
2024-06-06,AmazonCloudFront,14.67,techflow-prod,prod,us-east-1
2024-06-06,AmazonEC2,47.89,techflow-dev,dev,us-west-2
2024-06-06,AmazonS3,7.12,techflow-dev,dev,us-west-2
2024-06-06,AWSLambda,17.45,techflow-dev,dev,us-west-2
2024-06-07,AmazonEC2,107.89,techflow-prod,prod,us-east-1
2024-06-07,AmazonS3,21.78,techflow-prod,prod,us-east-1
2024-06-07,AWSLambda,39.91,techflow-prod,prod,us-east-1
2024-06-07,AmazonRDS,175.67,techflow-prod,prod,us-east-1
2024-06-07,AmazonCloudFront,16.23,techflow-prod,prod,us-east-1
2024-06-07,AmazonEC2,51.34,techflow-dev,dev,us-west-2
